ID,Pages,Difficulty,Test,Domain,Skill,Source_PDF
ac472881,1,hard,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
d1b66ae6,2,hard,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
3cdbf026,3,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
ff501705,4,hard,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
2937ef4f,5,hard,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
9bbce683,6,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
2b15d65f,7,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
e25f0807,8,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
be9cb6a2,9,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
db422e7f,10,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
45cfb9de,11,hard,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
f14484a5,12,hard,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
b7e6394d,13,hard,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
ee2f611f,14,hard,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
25e1cfed,15,hard,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
fdee0fbf,16,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
f75bd744,17,hard,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
b3abf40f,18,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
e6cb2402,19,hard,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
b988eeec,20,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
70feb725,21,hard,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
1a621af4,22,hard,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
af2ba762,23,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
b9835972,24,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
e1248a5c,25,hard,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
05bb1af9,26,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
52cb8ea4,27,hard,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
0b46bad5,28,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
c362c210,29,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
94b48cbf,30,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
50f4cb9c,31,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
16889ef3,32,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
d7bf55e1,33,hard,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
771bd0ca,34,hard,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
a309803e,35,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
55ea82f3,36,hard,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-hard.pdf
98d3393a,37,hard,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
0b0fa68b,38,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
6989c80a,39,hard,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-hard.pdf
