ID,Pages,Test,Domain,Skill,Source_PDF
0147b080,1,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
6f626ae5,2,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
85439572,3,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
a9040290,4,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
01989d77,5,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
8a8236e1,6,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
4603d1f7,7,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
6df33868,8,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
20000f5f,9,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
c228bd45,10,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
6bc0e595,11,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
0fc0a773,12,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
9debe79a,13,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
e7dc27dc,14,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
30c3aa98,15,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
c4d43991,16,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
4042ff0b,17,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
40578580,18,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
a9ac31e4,19,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
dbbbc5dd,20,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
8a3ecac6,21,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
4025e00c,22,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
2592e0de,23,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
89961e26,24,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
628e1305,25,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
25b70215,26,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
08b28c1a,27,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
de0a5b4e,28,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
6675c5c3,29,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
25893fc7,30,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
787729be,31,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
e441da80,32,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
08ff903e,33,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
47f2cddd,34,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
e1ee5f5c,35,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
2edd7ffe,36,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
26ee16ba,37,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
0b696a0c,38,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
37a49687,39,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
0113152f,40,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
f38b40ac,41,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
89f71526,42,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
23a7038f,43,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
7a895def,44,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
73c091d2,45,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
145da981,46,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
ede3f942,47,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
7921b86b,48,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
46e45728,49,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
9077be25,50,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
ac8eb085,51,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
eaded344,52,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
e3484c07,53,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
d7f31e68,54,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
00bb356a,55,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
4154a7a3,56,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
d3898d32,57,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
7f2781fd,58,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
420dea42,59,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
333b2b65,60,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
6fece68e,61,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
1724dac2,62,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
a1e0c981,63,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
aab78b25,64,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
26c8c88c,65,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
89ab0d46,66,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
ea8f4658,67,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
c21df211,68,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
7b950fc2,69,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
b1e8b87f,70,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
667a0587,71,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
b6de636f,72,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
603755a5,73,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
5aa1fffd,74,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
1f39ab8b,75,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
