ID,Pages,Difficulty,Test,Domain,Skill,Source_PDF
0147b080,1,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
6f626ae5,2,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
85439572,3,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
a9040290,4,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
01989d77,5,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
8a8236e1,6,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
4603d1f7,7,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
6df33868,8,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
20000f5f,9,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
c228bd45,10,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
6bc0e595,11,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
0fc0a773,12,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
9debe79a,13,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
e7dc27dc,14,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
30c3aa98,15,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
c4d43991,16,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
4042ff0b,17,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
40578580,18,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
a9ac31e4,19,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
dbbbc5dd,20,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
8a3ecac6,21,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
4025e00c,22,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
2592e0de,23,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
89961e26,24,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
628e1305,25,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
25b70215,26,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
08b28c1a,27,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
de0a5b4e,28,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
6675c5c3,29,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
25893fc7,30,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
787729be,31,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
e441da80,32,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
08ff903e,33,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
47f2cddd,34,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
e1ee5f5c,35,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
2edd7ffe,36,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
26ee16ba,37,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
0b696a0c,38,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
37a49687,39,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
0113152f,40,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
f38b40ac,41,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
89f71526,42,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
23a7038f,43,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
7a895def,44,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
73c091d2,45,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
145da981,46,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
ede3f942,47,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
7921b86b,48,easy,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-easy.pdf
46e45728,49,easy,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-easy.pdf
9077be25,50,easy,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-easy.pdf
ac8eb085,51,easy,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
eaded344,52,easy,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
e3484c07,53,easy,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
d7f31e68,54,easy,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
00bb356a,55,easy,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
