ID,Pages,Difficulty,Test,Domain,Skill,Source_PDF
f1bfbed3,1,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
6b8a7c74,2,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
a15b3219,3,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
ed314256,4_5,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
0d7f4966,6,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
068f939b,7,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
ce4448b7,8,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
040583a5,9,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
7a1877be,10,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
4b3d6062,11,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
58e9e497,12,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
1a2b29c9,13,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
04cbeca3,14,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
2fdfe002,15,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
ccb1ab92,16,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
be19faa1,17,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
c83e0b43,18_19,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
dd1757fd,20,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
e185a21f,21,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
09f9edb0,22,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
f9bd4e61,23,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
96802cc0,24,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
35b46381,25,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
4ba0695d,26,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
